StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed consent,prolificID,speech_convenience_1,speech_monetary_1,speech_safety_1,press_monetary_1,press_safety_1,press_convenience_1,privacy_convenience_1,privacy_monetary_1,privacy_safety_1,process_convenience_1,process_monetary_1,process_safety_1,equal_convenience_1,equal_monetary_1,equal_safety_1,assoc_convenience_1,assoc_monetary_1,assoc_safety_1,petition_convenience_1,petition_monetary_1,petition_safety_1,vote_convenience_1,vote_monetary_1,vote_safety_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Education,Gender,Gender_4_TEXT,Income,age,race,Unclear
2025-03-05 06:56:53,2025-03-05 07:05:48,0,98.118.174.65,100,535,1,2025-03-05 07:05:48,R_3ZaU3adTPOWh4L7,,,,,42.8354,-78.7573,anonymous,EN,1,6682b0b622da87763c14179c,,62,,,,59,,,62,,,18,,,30,,18,,41,,,3,,,28,55,94,92,93,90,93,53,73,93,5,2,,4,53,1,Thank you
2025-03-05 07:00:32,2025-03-05 07:06:09,0,71.146.32.65,100,336,1,2025-03-05 07:06:09,R_7F3pWAJdgZ5rXHC,,,,,29.5654,-98.2245,anonymous,EN,1,5cbf4a7a5437eb0001eeaf4a,57,,,60,,,76,,,76,,,77,,,73,,,78,,,,,54,93,81,82,85,75,89,85,84,91,85,5,2,,5,,1,
2025-03-05 06:52:06,2025-03-05 07:06:58,0,98.235.162.216,100,892,1,2025-03-05 07:06:59,R_5EfKzvdLaAAQGZB,,,,,40.7911,-77.8592,anonymous,EN,1,673e52b33aa58b8e606b2efc,,0,,,,0,,0,,,,0,,0,,,0,,,,0,0,,,70,80,100,100,50,100,100,100,100,100,2,2,,1,20,"1,6",
2025-03-05 07:00:27,2025-03-05 07:06:58,0,50.47.174.174,100,391,1,2025-03-05 07:06:59,R_6JWRt3goMcjuqc6,,,,,47.9425,-122.2139,anonymous,EN,1,671f1afc5c1e9c80a8421b7e,,,60,,40,,60,,,,60,,,40,,,40,,,40,,,50,,40,60,60,60,60,60,60,50,50,50,6,2,,3,49,1,
2025-03-05 06:55:46,2025-03-05 07:08:40,0,37.218.209.40,100,774,1,2025-03-05 07:08:41,R_3lmcMTJRnSRPrPo,,,,,40.6601,-74.2098,anonymous,EN,1,67c776bc45e9b32bca838501,,65,,,,,50,,,,,60,,50,,,60,,60,,,,55,,70,65,92,99,100,65,70,65,65,75,5,2,,6,49,1,
2025-03-05 07:06:22,2025-03-05 07:08:48,0,129.222.85.140,100,145,1,2025-03-05 07:08:48,R_5rMBEdlRExSvltm,,,,,33.7485,-84.3871,anonymous,EN,1,678ee7dba6a99b5df5eef795,,,0,0,,,,,8,,0,,,0,,,,0,,,0,,,0,100,100,100,100,100,100,80,100,83,100,6,1,,6,41,1,
2025-03-05 07:03:57,2025-03-05 07:08:54,0,98.198.254.116,100,296,1,2025-03-05 07:08:54,R_5XgXBnHvAOmZC13,,,,,29.7869,-95.1759,anonymous,EN,1,5eb67ac31de6e8583b4edafe,82,,,25,,,0,,,81,,,,20,,,,60,,,62,,,60,31,65,100,100,100,100,100,50,75,100,3,1,,5,48,1,
2025-03-05 06:55:27,2025-03-05 07:10:25,0,75.136.195.155,100,898,1,2025-03-05 07:10:26,R_5DNnvoAlwjpVywF,,,,,35.6884,-84.0769,anonymous,EN,1,6659d6b4181dc122d7294232,51,,,25,,,,,75,,,50,,0,,,,60,,30,,,,0,10,40,100,50,100,80,100,50,87,100,4,2,,3,52,"1,3","Nothing can replace humans "
2025-03-05 07:05:56,2025-03-05 07:11:34,0,185.112.243.231,100,338,1,2025-03-05 07:11:35,R_5i4dZbW0u9bAgFX,,,,,37.751,-97.822,anonymous,EN,1,67c76f24a94f9c31f945c0c5,,,70,60,,,,,80,,80,,81,,,,,60,,90,,,40,,90,90,70,75,70,75,100,100,68,80,5,2,,3,25,1,its was nice
2025-03-05 07:06:05,2025-03-05 07:13:14,0,74.77.196.76,100,428,1,2025-03-05 07:13:14,R_55gdmnT1lp7Im6l,,,,,44.2395,-76.0858,anonymous,EN,1,5e975ea254955d0bfe9f7929,0,,,72,,,,50,,0,,,,,30,,0,,,10,,,,0,85,100,100,100,100,100,100,90,100,100,6,2,,2,65,1,
2025-03-05 07:07:38,2025-03-05 07:13:23,0,172.125.40.113,100,345,1,2025-03-05 07:13:24,R_11nAjdo9eQ9qOSs,,,,,36.1047,-79.8201,anonymous,EN,1,66f87e6e2dc45bbe77324f9a,10,,,,,0,,0,,0,,,,0,,,,19,,10,,,,20,30,100,100,100,100,100,100,80,70,70,3,2,,5,34,1,
2025-03-05 07:04:28,2025-03-05 07:14:42,0,24.113.239.100,100,613,1,2025-03-05 07:14:42,R_3ODsBcjJgAvS7G9,,,,,47.4758,-122.6422,anonymous,EN,1,67031694d80aaad5b2c87e00,84,,,,59,,15,,,,0,,,17,,20,,,,,65,,51,,40,96,86,100,96,96,77,30,62,51,4,2,,3,47,1,
2025-03-05 07:00:20,2025-03-05 07:15:33,0,185.123.155.102,100,913,1,2025-03-05 07:15:34,R_7j6ZfqxfIlHoqbZ,,,,,37.751,-97.822,anonymous,EN,1,67bda831aa2b139bef92088e,,78,,,,14,,0,,,11,,21,,,,46,,,,11,,,0,78,97,100,100,90,86,100,87,96,100,6,1,,4,46,2,
2025-03-05 07:11:26,2025-03-05 07:15:50,0,69.246.238.198,100,264,1,2025-03-05 07:15:51,R_1o4LpJSF098QfWj,,,,,40.4591,-90.6805,anonymous,EN,1,662a5678bf563d7e275345ba,85,,,,95,,,96,,,,14,32,,,,,71,,91,,,92,,56,56,46,39,71,77,89,82,77,55,5,2,,6,51,1,
2025-03-05 07:10:52,2025-03-05 07:16:07,0,158.222.141.84,100,314,1,2025-03-05 07:16:07,R_3H63ZHHmeBM9kYP,,,,,40.8123,-73.9682,anonymous,EN,1,5eef7517c8692d20c3279493,,0,,,20,,,,70,0,,,,,20,19,,,39,,,,40,,80,82,92,100,100,58,100,74,70,96,6,1,,6,54,1,
2025-03-05 07:06:56,2025-03-05 07:16:27,0,198.255.146.117,100,570,1,2025-03-05 07:16:27,R_18l81OoYvmMdLdn,,,,,42.1471,-75.8816,anonymous,EN,1,654580dcf53f11ae40ade9fd,,0,,,15,,20,,,,0,,,30,,,50,,50,,,,0,,50,85,100,100,100,85,100,65,50,100,3,2,,1,58,1,no
2025-03-05 07:13:04,2025-03-05 07:17:46,0,65.29.80.185,100,282,1,2025-03-05 07:17:46,R_5DG2doVuOxQ1Jrn,,,,,39.8255,-84.2012,anonymous,EN,1,5eebe4e6e61002183aec9b70,,,15,,10,,40,,,0,,,,,0,0,,,,,35,,0,,55,95,95,100,100,100,100,100,90,100,3,1,,1,27,1,N/A
2025-03-05 07:10:30,2025-03-05 07:17:51,0,162.221.219.118,100,441,1,2025-03-05 07:17:52,R_1CVMyUAdhrnWL2N,,,,,37.9643,-84.4703,anonymous,EN,1,66c38c380f6784a696195559,,,80,,,20,,40,,0,,,,70,,,80,,,40,,,,20,80,80,80,80,100,100,80,70,70,100,6,2,,4,65,1,NA
2025-03-05 07:14:01,2025-03-05 07:18:25,0,108.5.210.131,100,264,1,2025-03-05 07:18:26,R_5lzPmkPjBbUYLDq,,,,,40.7062,-74.5493,anonymous,EN,1,66b4f1af8606691a7620b3ba,,,98,,33,,88,,,92,,,,,80,90,,,89,,,,,91,11,87,85,90,70,87,65,24,81,80,6,2,,6,47,4,
2025-03-05 07:15:09,2025-03-05 07:19:22,0,69.206.74.133,100,252,1,2025-03-05 07:19:22,R_732Ua6L5FSvsd1W,,,,,41.9698,-74.0677,anonymous,EN,1,61008d2c6f3ddfb0a0805297,60,,,,,0,,,60,,0,,0,,,0,,,,0,,0,,,100,100,91,91,100,90,100,100,100,100,5,3,,4,30,1,there was no hispanic/latino demographic
2025-03-05 07:14:14,2025-03-05 07:19:25,0,73.174.199.103,100,310,1,2025-03-05 07:19:26,R_7E0NJ5jthq3lDOR,,,,,40.3214,-80.0378,anonymous,EN,1,65e7ca51f9482482909fd1ff,,,24,29,,,,13,,66,,,38,,,,,70,65,,,18,,,82,90,92,88,61,81,88,61,40,97,5,1,,3,29,1,no comments!
2025-03-05 07:15:59,2025-03-05 07:20:02,0,12.75.47.63,100,243,1,2025-03-05 07:20:04,R_7nrv1U45yzxRg1b,,,,,38.9822,-94.6719,anonymous,EN,1,65e630e4777c8e3ac50b9aea,,44,,,88,,,,10,0,,,30,,,,,45,,,19,,,0,64,100,100,100,100,100,100,100,91,95,5,2,,2,52,2,
2025-03-05 07:06:40,2025-03-05 07:20:13,0,223.29.141.169,100,813,1,2025-03-05 07:20:14,R_3fE6HOtUQRVoKQh,,,,,37.751,-97.822,anonymous,EN,1,67c4a7b07bac3222a4270dff,,,80,,,59,78,,,,40,,40,,,,,40,,,58,,62,,77,74,64,39,80,71,83,67,87,83,6,3,,7,31,1,No
2025-03-05 07:12:01,2025-03-05 07:20:29,0,97.181.181.174,100,508,1,2025-03-05 07:20:29,R_1cUqqXMQ1D5MFvX,,,,,36.115,-115.2165,anonymous,EN,1,672f52a00a313a6c80a37ab3,,,25,,,60,,,90,,10,,,0,,100,,,,,100,,,75,75,100,95,90,90,100,100,95,100,100,4,2,,4,54,1,None
2025-03-05 07:18:05,2025-03-05 07:20:45,0,216.107.233.6,100,159,1,2025-03-05 07:20:45,R_5isS4rQ0Tkbcn4O,,,,,44.227,-71.7479,anonymous,EN,1,6782831c64f781e49179fcd7,,22,,,43,,,,28,3,,,,28,,,33,,,20,,,29,,87,96,95,100,96,98,97,98,99,100,5,1,,6,55,1,
2025-03-05 07:15:34,2025-03-05 07:21:03,0,45.19.120.160,100,329,1,2025-03-05 07:21:04,R_1g5Rmglp11KM5ga,,,,,39.1918,-96.5818,anonymous,EN,1,62ffb36147e8cb67b697e5dd,,,90,20,,,,,90,,,90,,30,,60,,,60,,,10,,,60,40,80,30,95,49,75,70,30,90,2,1,,4,37,1,
2025-03-05 07:18:25,2025-03-05 07:21:24,0,155.190.22.4,100,179,1,2025-03-05 07:21:24,R_51yY7362ETATSBZ,,,,,38.9091,-77.0203,anonymous,EN,1,5ad52dbafaa35e0001b90112,20,,,15,,,,,35,,,10,10,,,,0,,,,0,,,40,100,100,95,95,100,100,100,100,90,95,5,2,,4,26,1,
2025-03-05 07:10:44,2025-03-05 07:22:06,0,71.192.123.1,100,682,1,2025-03-05 07:22:06,R_3gurBFw4UtPRhiz,,,,,42.2783,-71.1593,anonymous,EN,1,66734ebf5b2965777d3305fe,60,,,,,40,,40,,,,60,,40,,,,60,,40,,40,,,40,70,60,60,60,60,60,40,70,60,3,1,,7,56,4,No comment
